Cohort ethnicity,0
Han Chinese,11958.0
Japanese,10769.0
Diverse,6416.0
Thai,2083.0
Caucasian,2017.0
Korean,1596.0
Caucasian (North West),1368.0
Unknown,1137.0
Caucasian (predominantly),849.0
Indian,532.0
Caucasian (Spanish),428.0
European,373.0
Vietnamese,249.0
Black,239.0
Malay,117.0
Arab,5.0
